,x,y,z,allenId,sampleNumber,parentNumber,type,file,zz,subject,id,cluster,cluster2,embedding_x,embedding_y,Unnamed: 0,Graph,somaAP,somaDV,somaML,OLF,Isocortex,HPF,CTXsp,CNU,TH,HY,MB,CB,P,MY,Other,Total Length (cm),Axon Branches,Top Projection,cortex_diff,num_branches,num_tips,mean_fragmentation,max_branch_order,num_outer_bifurcations,mean_bifurcation_angle_local,mean_bifurcation_angle_remote,total_length,max_euclidean_distance,max_path_distance,early_branch_path,mean_contraction
0,10307.786,4087.2135,6573.1561,326,0,-1,1,/data/685221_12_5_24/Complete_annotated/N011-685221-SP.json,4826.8439,685221,N011-685221,1,1,276.6234429123293,601.8325246993822,9.0,N011-685221-SP,10307.786,4087.2135,4826.8439,0.112453181316111,0.4518892241322064,0.2068064642393127,0.0286293959318754,0.0166467605375285,0.0524427991505985,0.0076602501747485,0.0235186677368267,0.0026128377320467,0.0072413609393059,0.0,0.0261785851777354,54.236933675186535,1045.0,Isocortex,0.8666267971021664,55,28,9.363636363636363,10,11,1.4697175172423582,1.5379334738732506,3944.643320689571,400.6453848256465,530.8887052496376,0.8227921652169641,0.8588490256415261
0,10170.9167,4731.2383,4769.3212,1093,0,-1,1,/data/685221_12_5_24/Complete_annotated/N060-685221-YV.json,4769.3212,685221,N060-685221,1,1,460.18058470091546,-124.708160493982,37.0,N060-685221-YV,10170.9167,4731.2383,4769.3212,0.0,0.0,0.0,0.0,0.0,0.008601232512297,0.0175751536027776,0.1306096301312052,0.2069211291390368,0.2119806395506974,0.2282265652390907,0.100070247048658,25.51040723750904,538.0,MY,-0.38349143559216636,51,26,8.529411764705882,7,7,1.6288688374983207,1.4986182083126554,3593.790985364274,782.485335923007,844.589828131145,0.4445430447029489,0.9083913912858105
0,10450.568,4342.7339,4987.3253,162,0,-1,1,/data/685221_12_5_24/Complete_annotated/N053-685221-SP.json,4987.3253,685221,N053-685221,1,1,491.7247425203623,-180.46104305082966,34.0,N053-685221-SP,10450.568,4342.7339,4987.3253,0.030562361630712,0.0,0.0011369599549144,0.0063523896332208,0.2746038294542761,0.127636017264991,0.240892073011476,0.1552396965974228,0.0,0.0970324854324212,0.0005177832322154,0.0064072810678057,32.38348372631819,723.0,CNU,0.7324657778145707,85,43,5.776470588235294,9,23,1.4367103532779977,1.4352318354480964,3543.712870603016,523.1680572778212,591.4074898495946,0.8889158456476781,0.8890833115478853
0,10305.9185,4796.3489,6815.1339,771,0,-1,1,/data/685221_12_5_24/Complete_annotated/N013-685221-DS.json,4584.8661,685221,N013-685221,1,1,-523.8477400254557,-626.5052719448361,55.0,N013-685221-DS,10305.9185,4796.3489,4584.8661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1221590476633223,0.6400904806671036,0.2094144316993331,8.506997497807198,184.0,MY,-0.971663960029759,19,10,16.263157894736842,6,2,1.1924618533917413,0.8216168232352538,2812.466735796933,763.2402315379877,787.3043954329672,0.47422217508878944,0.9357070431755468
0,10350.5782,4170.3139,4962.3168,162,0,-1,1,/data/685221_12_5_24/Complete_annotated/N039-685221-YV.json,4962.3168,685221,N039-685221,1,1,256.33927213110957,-45.51505711797164,20.0,N039-685221-YV,10350.5782,4170.3139,4962.3168,0.0762885037131176,0.4122271079418454,0.1661459315158226,0.0361686344529438,0.0697511954011323,0.0274833046536025,0.026811402666401,0.0295026250882321,0.0115913761860645,0.0264851337335127,0.0001089476437404,0.01025467006548,38.57795997051686,747.0,Isocortex,0.8075299539903642,57,29,6.842105263157895,9,11,1.55882900682457,1.5473581525289675,3513.3361826161167,492.8100913889135,548.2538876949334,0.8127379073414615,0.8949786395885144
0,10543.3929,4243.466,6648.7405,460,0,-1,1,/data/685221_12_5_24/Complete_annotated/N017-685221-HS.json,4751.2595,685221,N017-685221,1,1,618.3457373767742,-763.8325238307732,32.0,N017-685221-HS,10543.3929,4243.466,4751.2595,0.2121450898223459,0.0613900478367043,0.2515804538157039,0.0306823940668007,0.0601011456527086,0.0375219009239353,0.0752924639405104,0.0225814440682868,0.0739410779402801,0.0536912351268663,0.0087227037259112,0.0400273534524995,24.414260016410594,432.0,HPF,0.6488536478217187,45,23,15.6,6,10,1.3513301261651534,1.1707633985124952,3261.7459307328313,660.446836574732,712.6937287071479,0.5655172553138562,0.8956728534027224
0,10528.9978,4736.6049,4747.6231,350,0,-1,1,/data/685221_12_5_24/Complete_annotated/N043-685221-HD.json,4747.6231,685221,N043-685221,1,1,-308.7985425192504,-114.58875048589898,47.0,N043-685221-HD,10528.9978,4736.6049,4747.6231,0.0,0.0,0.0,0.0,0.0,0.0297863868450088,0.0374492261831996,0.3277167664802834,0.0,0.1576124140282976,0.2946433491761633,0.0707037039308368,16.27983119450625,173.0,MB,-0.1280070876268059,79,40,4.518987341772152,11,17,1.3594688479124364,1.3812233689679538,3094.5397320289076,527.0160299732929,645.9451667461066,0.5726025332994658,0.8806391667592415
0,10958.5411,4229.0386,6767.2399,867,0,-1,1,/data/685221_12_5_24/Complete_annotated/N029-685221-JN.json,4632.7601,685221,N029-685221,1,1,77.72802169081123,55.10829611364489,17.0,N029-685221-JN,10958.5411,4229.0386,4632.7601,0.0291283309494854,0.6878662312093075,0.171166835351146,0.0056834179558181,0.0170136658390887,0.0069755849293401,0.0135418285087214,0.0106562392778365,0.0008975987553472,0.0074073777734631,0.0013556246450682,0.0090827008702878,48.818239392072286,860.0,Isocortex,0.9241864307319246,33,17,13.363636363636363,7,3,1.616277580665057,1.2520313952553117,3897.9850697856914,618.4420226859748,704.8157714427701,0.6907146868864201,0.7532502716971156
0,10401.2976,4970.9756,4706.2516,1093,0,-1,1,/data/685221_12_5_24/Complete_annotated/N051-685221-YP.json,4706.2516,685221,N051-685221,2,4,-986.5521836918667,-206.60450159423155,52.0,N051-685221-YP,10401.2976,4970.9756,4706.2516,0.0,0.0,0.0017340127699408,0.0,0.0056498939405459,0.208090632655098,0.0605751784641139,0.250098361583587,0.0,0.0478427258863205,0.1651308582480623,0.1877689802740765,15.974008133518495,210.0,MB,0.12540551500482622,25,13,14.68,5,4,1.3168600313246215,1.3158875469170048,3391.281552833609,685.6568270786557,733.0646763214825,0.6950692549734374,0.9105260743060385
0,10277.8252,4428.3755,4817.0304,771,0,-1,1,/data/685221_12_5_24/Complete_annotated/N048-685221-VM.json,4817.0304,685221,N048-685221,1,1,1640.4165557065828,-318.76608706922025,24.0,N048-685221-VM,10277.8252,4428.3755,4817.0304,0.0028375106718972,0.6292533088554946,0.0024841064879741,0.0,0.0039099418283433,0.0103391282353398,0.025745805275294,0.0543925726523306,0.1261588624614173,0.0467782557079923,0.0108797012213286,0.03535754183421,56.97450336780808,665.0,Isocortex,0.6359468752431428,21,11,20.714285714285715,4,3,0.9732107843925984,1.0219661862843714,3770.664802889998,511.1614436052379,601.4813706413878,0.7455055867154383,0.8518677102874317
